tweet_id,date_time,favorites,retweets,user_followers,user_favourites
699801817392291840,2016-02-17 03:45:29,3326,1084,3768849,120161
699788877217865730,2016-02-17 02:54:04,2451,554,3768849,120161
699779630832685056,2016-02-17 02:17:19,3028,1393,3768849,120161
699775878809702401,2016-02-17 02:02:25,2135,686,3768850,120161
699691744225525762,2016-02-16 20:28:06,11206,5145,3768850,120161
699446877801091073,2016-02-16 04:15:05,6486,2926,3768850,120161
699434518667751424,2016-02-16 03:25:58,2374,574,3768850,120161
699423671849451520,2016-02-16 02:42:52,1498,379,3768851,120161
699413908797464576,2016-02-16 02:04:04,2250,687,3768851,120161
699370870310113280,2016-02-15 23:13:03,2050,494,3768851,120161
699323444782047232,2016-02-15 20:04:36,3451,977,3768851,120161
699088579889332224,2016-02-15 04:31:20,2441,711,3768851,120161
699079609774645248,2016-02-15 03:55:41,2668,739,3768851,120161
699072405256409088,2016-02-15 03:27:04,3274,1320,3768851,120161
699060279947165696,2016-02-15 02:38:53,4147,2047,3768851,120161
699036661657767936,2016-02-15 01:05:02,2852,1337,3768852,120161
698989035503689728,2016-02-14 21:55:47,3689,1108,3768852,120161
698953797952008193,2016-02-14 19:35:46,2959,1014,3768852,120161
698907974262222848,2016-02-14 16:33:40,2778,694,3768852,120161
698710712454139905,2016-02-14 03:29:49,2701,770,3768852,120161
698703483621523456,2016-02-14 03:01:06,1597,425,3768852,120161
698635131305795584,2016-02-13 22:29:29,1397,384,3768852,120161
698549713696649216,2016-02-13 16:50:04,2522,698,3768852,120161
698355670425473025,2016-02-13 03:59:01,2037,510,3768852,120161
698342080612007937,2016-02-13 03:05:01,2476,1068,3768852,120161
698262614669991936,2016-02-12 21:49:15,5186,2258,3768853,120161
698195409219559425,2016-02-12 17:22:12,18319,6716,3768855,120161
698178924120031232,2016-02-12 16:16:41,3072,824,3768855,120161
697995514407682048,2016-02-12 04:07:53,1660,369,3768855,120161
697990423684476929,2016-02-12 03:47:39,3586,1448,3768855,120161
697943111201378304,2016-02-12 00:39:39,2623,774,3768855,120161
697881462549430272,2016-02-11 20:34:41,3293,1332,3768855,120161
697630435728322560,2016-02-11 03:57:11,1901,610,3768856,120161
697616773278015490,2016-02-11 03:02:54,3451,1137,3768856,120161
697596423848730625,2016-02-11 01:42:02,3296,1419,3768857,120161
697575480820686848,2016-02-11 00:18:49,2243,569,3768857,120161
697516214579523584,2016-02-10 20:23:19,2265,1275,3768857,120161
697482927769255936,2016-02-10 18:11:03,2652,762,3768857,120161
697463031882764288,2016-02-10 16:51:59,3730,1547,3768857,120161
697270446429966336,2016-02-10 04:06:43,5102,2080,3768857,120161
697259378236399616,2016-02-10 03:22:44,3597,1126,3768857,120161
697255105972801536,2016-02-10 03:05:46,3300,1310,3768857,120161
697242256848379904,2016-02-10 02:14:42,2735,748,3768857,120161
696900204696625153,2016-02-09 03:35:31,3476,1152,3768857,120161
696894894812565505,2016-02-09 03:14:25,2579,756,3768857,120161
696886256886657024,2016-02-09 02:40:05,5285,2001,3768857,120161
696877980375769088,2016-02-09 02:07:12,2676,798,3768857,120161
696754882863349760,2016-02-08 17:58:03,1605,396,3768857,120161
696744641916489729,2016-02-08 17:17:22,2278,1066,3768857,120161
696713835009417216,2016-02-08 15:14:57,2603,752,3768857,120161
696518437233913856,2016-02-08 02:18:30,4255,1881,3768857,120161
696490539101908992,2016-02-08 00:27:39,1334,169,3768857,120161
696488710901260288,2016-02-08 00:20:23,2779,1163,3768857,120161
696405997980676096,2016-02-07 18:51:43,3516,1280,3768857,120161
696100768806522880,2016-02-06 22:38:50,2116,745,3768857,120161
695816827381944320,2016-02-06 03:50:33,3275,1315,3768858,120161
695794761660297217,2016-02-06 02:22:53,3478,877,3768859,120161
695767669421768709,2016-02-06 00:35:13,2047,850,3768859,120161
695629776980148225,2016-02-05 15:27:17,4992,2364,3768861,120161
695446424020918272,2016-02-05 03:18:42,4766,2018,3768861,120161
